id,name,rating,posts,likes,comments,r_shares,r_comments,r_likes,r_commentLikes
10204429972629182,Dominique Marquise Lewis,27957,64,770,647,5,1343,9179,1749
1155954201115808,Taylor Benson,15896,52,701,2171,1,1477,850,1586
1111106328933609,Michael Addi,3541,32,366,284,5,158,489,325
1078274845526436,Dima Kadyk,1647,2,734,27,0,9,10,41
1070416009647164,Alexander Schmidt,1260,11,108,27,0,50,368,22
1084524211604373,Greg Tricking,19,0,4,3,0,0,0,2
1197865170223770,Mic Ha,20,0,3,3,0,0,0,5
10205976220621486,Thomas Deinhammer,284,0,97,21,0,0,0,27
1693229084299299,Marquelle Johnson,956,0,474,2,0,0,0,2
1133564139995747,Jay Pang,294,0,90,32,0,0,0,18
1167627176611537,Jackson Franklyn,4944,43,328,101,9,290,1380,104
1168326556533489,Algirdas Valys,2099,3,870,62,0,20,12,74
1662295144026615,Ethan Preston,208,1,74,7,0,5,3,13
1253408868021085,Cooper Hills,156,1,33,14,0,1,7,26
1185994221425087,Flávio Moreira,1572,26,284,28,37,48,241,16
613358188812101,Piotr Jastrzębski,82,0,41,0,0,0,0,0
1167134173296781,Mark Pipper,2179,1,506,16,0,52,476,6
10209083126412995,Sean Chiu,555,2,201,28,0,11,3,20
10207217082919613,David Lorenz,72,0,13,9,0,0,0,19
1100575686694771,Marvin Rasprava,3727,12,1233,116,0,66,242,171
972005142871469,Jet Vallespin,1779,8,363,16,6,51,387,14
1043463109059848,Andri Ardiansyah Nugraha,133,0,63,2,0,0,0,1
935838496512702,Tim Hunkemöller,5224,11,1085,115,5,143,974,257
1179015285442075,Mathias Lillich,151,0,45,8,0,0,0,37
1060962230593690,Julius Hochrinner,812,1,369,15,0,2,4,10
1208326732524858,Jonas Ligerinho Marqua,5081,14,896,366,4,108,612,557
10153639000383337,Ruben Fritrickz,543,3,114,29,1,8,61,63
10208859249579558,Kenny Anderson,1205,11,126,94,1,88,111,126
881915371873681,Oswa HD,2646,28,582,110,0,91,310,119
962952083752520,Manu Sánchez,398,1,152,12,0,0,8,37
10153531034661914,Errauf Alkar,186,0,93,0,0,0,0,0
1769308596625177,undefined,2,0,1,0,0,0,0,0
10153228168442000,Joe Hadow,36,0,14,2,0,0,0,2
1002532686464177,Iman Zulhilmi,1001,0,485,9,0,0,0,4
10153950042719845,Adam Nofear Didlick,76,0,35,2,0,0,0,0
684250158383150,Dago Wockee,898,0,415,18,0,0,0,14
1341705905856034,Patrik Kvaizar,194,0,95,1,0,0,0,1
835413299908966,Rasmus Eskildsen,100,0,50,0,0,0,0,0
1034864216588373,Ryad Bestboy,259,0,106,13,0,0,0,8
977330582321063,Luciano Lima Costa,1574,2,654,58,0,1,18,43
588882717944225,Nick Huiberts,6479,30,449,369,4,340,1462,364
1274474919246358,Aleks Todorov,3487,12,674,226,0,105,362,362
1121784337891568,Danilo Velickovic,2046,6,509,100,2,89,175,73
1182701288421418,Danilo Devedžić,772,0,386,0,0,0,0,0
10154112206747520,Rainier Paras,1482,23,71,25,0,97,408,43
1386836418008407,Mads Sander Grini,24,0,12,0,0,0,0,0
772307219535961,Plescan George,202,0,101,0,0,0,0,0
453258788214818,Oskar Freerun,44,0,19,2,0,0,0,0
10153830294161649,Ryan Ray,42,0,11,5,0,0,0,5
1099624396755704,Jacob Watson,113,0,55,1,0,0,0,0
10206487352725791,Noam Sela,1087,1,443,28,0,1,39,31
1218430294848526,Zach Pacuch,10982,15,4128,293,0,172,380,496
1088003517923912,Galen Smuland,950,0,449,13,0,0,0,13
1671661563116933,Vardas Arnoldas,62,0,25,4,0,0,0,0
742528032550254,Mukas Nu,52,1,6,3,0,8,1,0
995321557225238,Malte Kruse,299,0,148,1,0,0,0,0
10208488417548596,Chadi Azzam,329,0,148,9,0,0,0,6
10153634600678348,Gerry Banda,432,0,212,2,0,0,0,2
10153961189017906,Isaac Elozory,566,0,272,6,0,0,0,4
10208235365434310,Francisco Antonio Luzania,2732,1,1128,44,1,8,134,43
969658293110379,Travis Ursery,101,0,45,3,0,0,0,2
764543487006279,Rimantas Ačas,13073,36,4032,455,4,196,895,1070
980241655372546,Youssef Baati,857,0,377,28,0,0,0,19
983637615061771,Aurimas Ir Tiek,259,0,119,5,0,0,0,6
493902037483522,Aissa Mostefaoui Kapwira,916,1,419,13,0,0,14,6
1071447906209156,Yordy Castrillo,4475,47,800,29,6,126,1071,9
10156540928115024,Filippo Granata,2282,8,871,59,0,38,70,69
10203033857765780,Khalid El Mrabet,2024,2,62,4,142,19,626,1
1067364466648641,Jordyn Grant,130,0,63,1,0,0,0,1
1164962120221016,Abelardo Alvarado,3287,8,1020,103,4,26,358,88
674351856036311,Regis Mahoy,306,0,153,0,0,0,0,0
1655378128061400,Anh Nam,100,0,45,3,0,0,0,1
10209363809837154,Giacomo Selvàdec Panizza,38,0,19,0,0,0,0,0
10209175677420215,Hercules Chan,497,0,221,10,0,0,0,25
218808825150852,Alejandro Scarone,705,0,346,4,0,0,0,1
938475916246072,Haftom Akote Akote,9,1,2,0,0,0,0,0
1197368843631386,Nezar Ghailane,265,0,122,6,0,0,0,3
599830873519539,Andrius Nepamenu,150,0,68,2,0,0,0,8
1049223201767385,Muhammad Umar Axeonethree,2276,5,330,29,0,45,640,89
603710853110549,Cha Mbo,36,0,18,0,0,0,0,0
998306120236220,Philipp Büttner,7303,17,1424,38,33,165,1766,97
755622677906827,Nedas Urnikis,70,1,31,0,0,1,0,0
1706884922873494,Stanislav Simachov,861,0,425,3,0,0,0,2
1091774347534442,Ty Tricking,8550,54,419,621,34,716,1322,651
10207365881326452,Timmy Ramampandrison,2190,1,950,16,0,18,86,11
437000036495656,Penkiolikti Ein,172,0,79,4,0,0,0,2
10205056443524726,Youssef El Meddeb,5119,40,497,188,0,451,940,128
954809757936014,Lloyd Mophakedi,835,11,71,58,0,86,85,36
10205935963935026,Joris Goderis,10619,75,417,395,229,748,2298,469
1007154032678510,Nidhal FlowGun,1051,7,124,48,2,34,218,78
946586172092945,Gabrielis Kiela,220,0,110,0,0,0,0,0
10209224673593035,Yasmine Dina Albassit,4207,0,2095,2,0,0,0,11
969278013153940,Ovidijus Serva,1204,9,288,11,0,123,89,3
961301497287377,Roth Thomas,1324,1,544,62,0,1,8,26
1059389684121467,Domantas Narauskas,21,0,9,1,0,0,0,0
595443097290152,Eism Tricking,379,5,115,4,1,8,41,2
513592338849416,Deividas Jurgaitis,36774,99,448,595,269,1523,13317,1319
861733813941166,Nathan Skips Smith,868,4,89,88,0,28,56,210
1116557675061378,Andreas Bundgaard,11,0,0,3,0,0,0,2
1061504773907469,Gal Isaev,1737,16,140,49,4,57,501,41
752561418206663,Eli Levi,1904,3,609,21,16,30,199,56
10106965040145579,Danny Gram,88,2,7,11,0,1,11,6
1703068833264903,Aman Kumar,709,18,33,2,0,12,255,1
10209862947557192,Brett Hummell,18,0,5,2,0,0,0,2
10207843207031754,Matt Tyler,122,1,25,16,0,0,1,17
1020416268017399,Mustafa Freerunner,3580,10,781,408,1,55,128,319
10207774630628529,Tavo Sanchez,4686,21,1102,224,2,88,584,265
10153262218780670,Flip M. Law,935,4,211,69,0,25,75,61
963941917024647,Pierre Burrowes,17750,114,2296,658,7,887,3684,557
815127601948510,Eduardo Sojo,282,0,141,0,0,0,0,0
500620330129565,Royi Tsuk,8068,36,2649,221,0,87,664,338
569666466514750,Rene Teichrib,573,2,218,23,0,11,8,9
478766002328109,Daniel Torres,171,4,34,2,0,11,22,0
469013679954096,Jake Lindvall,5906,26,1277,460,0,208,239,740
1690253374568080,Capitaine Haddock,177,0,74,7,0,0,0,8
10203708176585342,Cardell C. King,225,1,68,18,0,0,2,26
10206524895256408,Georgel EA,148,0,74,0,0,0,0,0
929143570467219,Younes Baati,2308,5,792,66,0,99,76,52
1006810432742668,Emiliano Flipz,4356,1,2092,11,2,2,51,18
1178641082148784,Christian Riccardi,2110,3,842,11,0,76,72,6
1256423631040958,Zakaria Janzi,2945,7,918,162,2,24,42,424
10207287809054011,Luis Carlos Coley,5240,16,832,649,4,95,272,704
1730202740559138,Sean Stanhope,1695,1,365,139,3,24,47,365
10208436919138738,Cristian Ferreyra,2366,9,719,79,0,25,236,99
537149483131953,Nadeau Bryan,74,2,20,0,0,2,9,0
10204645810664915,Ben Step,280,2,62,36,0,1,2,31
1008234652578242,Daniel Guerrero Santos,2314,33,137,45,36,98,633,36
996818320412522,Natanael Arias,175,0,76,7,0,0,0,2
1040873519313598,Mario Take Vogt,63,1,9,1,0,1,17,0
10206108401413279,Nach Lee,61,0,16,5,0,0,0,14
10153454872710959,Glenn McMahon Pickles,386,3,109,10,0,4,52,7
1287728107910040,Marcin Wr,660,5,142,35,0,43,48,21
1087306687996687,Vîtô Vâlêntînô Stêfânûttî,968,1,406,18,0,2,34,23
1707326389490258,Ryan Allison,370,0,185,0,0,0,0,0
1084961941524977,Kicktopher DarkHeart,1382,1,631,34,0,0,0,13
816901345108733,Luca Tropiano,96,0,44,2,0,0,0,2
10204371367963817,Mateusz Białek,239,0,118,1,0,0,0,0
1164363263598473,Carlos Yeniel Del Rio,3103,5,1203,64,1,48,95,142
10206591683255581,Bruce Bourlette,114,0,16,21,0,0,0,19
1703444179944780,Gabriel Vielma,555,0,140,54,0,0,0,113
10201393023624164,Nuttaro Chayaphat,312,0,156,0,0,0,0,0
489123284608041,Adonis Lima,293,0,128,10,0,0,0,7
548526545323800,Hung Nguyen,454,0,227,0,0,0,0,0
436648666535426,Andres Herrera,6744,18,2301,275,0,167,137,452
1128534980511988,Andres Ruiz,858,1,358,23,0,3,23,13
786131061419239,Theo Krafft,475,2,104,7,0,31,69,5
10207223570162067,Sabahattin Giritli,978,2,404,24,0,11,22,11
10153086659747651,Benny Yefremov,95,0,44,2,0,0,0,1
10209017913273315,David Varro,964,1,427,16,0,4,16,13
10208334778031651,Timothy Vom Scheidt,495,0,190,29,0,0,0,28
869730433141714,Momo Abdel,212,1,67,4,0,12,12,1
10208199589963779,Cristian Zamorano Vicencio,493,0,150,32,0,0,0,97
897408597034807,Robin Mantey,1420,1,564,33,0,7,63,41
1303754569640243,Leonardo Labanca,132,0,63,2,0,0,0,0
